"ID"	"State"	"InitialState"
"TCGA.AA.3715.01A"	"S05"	"IS09"
"TCGA.AA.3812.01A"	"S05"	"IS09"
"TCGA.AA.3833.01A"	"S05"	"IS09"
"TCGA.AA.3837.01A"	"S05"	"IS09"
"TCGA.AA.3841.01A"	"S05"	"IS09"
"TCGA.AA.3860.01A"	"S05"	"IS09"
"TCGA.AA.3867.01A"	"S05"	"IS09"
"TCGA.AA.3870.01A"	"S05"	"IS09"
"TCGA.AA.3966.01A"	"S05"	"IS09"
"TCGA.AA.3989.01A"	"S05"	"IS09"
"TCGA.AA.A02R.01A"	"S05"	"IS09"
"TCGA.AF.2691.01A"	"S05"	"IS09"
"TCGA.AF.4110.01A"	"S05"	"IS09"
"TCGA.AG.3582.01A"	"S05"	"IS09"
"TCGA.AG.3587.01A"	"S05"	"IS09"
"TCGA.AG.3612.01A"	"S05"	"IS09"
"TCGA.AG.3728.01A"	"S05"	"IS09"
"TCGA.AG.3878.01A"	"S05"	"IS09"
"TCGA.AG.3881.01A"	"S05"	"IS09"
"TCGA.AG.3882.01A"	"S05"	"IS09"
"TCGA.AG.3890.01A"	"S05"	"IS09"
"TCGA.AG.3893.01A"	"S05"	"IS09"
"TCGA.AG.3896.01A"	"S05"	"IS09"
"TCGA.AG.3999.01A"	"S05"	"IS09"
"TCGA.AG.4005.01A"	"S05"	"IS09"
"TCGA.AG.4008.01A"	"S05"	"IS09"
"TCGA.AG.A00H.01A"	"S05"	"IS09"
"TCGA.AG.A023.01A"	"S05"	"IS09"
"TCGA.AU.3779.01A"	"S05"	"IS09"
"TCGA.AY.4070.01A"	"S05"	"IS09"
"TCGA.AY.4071.01A"	"S05"	"IS09"
"TCGA.G4.6299.01A"	"S05"	"IS09"
"TCGA.A6.2677.01A"	"S06"	"IS12"
"TCGA.A6.2678.01A"	"S06"	"IS12"
"TCGA.A6.3809.01A"	"S06"	"IS12"
"TCGA.A6.4105.01A"	"S06"	"IS12"
"TCGA.A6.5661.01A"	"S06"	"IS12"
"TCGA.A6.5665.01A"	"S06"	"IS12"
"TCGA.A6.5667.01A"	"S06"	"IS12"
"TCGA.A6.6650.01A"	"S06"	"IS12"
"TCGA.A6.6780.01A"	"S06"	"IS12"
"TCGA.AA.3518.01A"	"S06"	"IS12"
"TCGA.AA.3532.01A"	"S06"	"IS12"
"TCGA.AA.3655.01A"	"S06"	"IS12"
"TCGA.AA.3660.01A"	"S06"	"IS12"
"TCGA.AA.3673.01A"	"S06"	"IS12"
"TCGA.AA.3697.01A"	"S06"	"IS12"
"TCGA.AA.3811.01A"	"S06"	"IS12"
"TCGA.AA.3864.01A"	"S06"	"IS12"
"TCGA.AA.3866.01A"	"S06"	"IS12"
"TCGA.AA.3875.01A"	"S06"	"IS12"
"TCGA.AA.3877.01A"	"S06"	"IS12"
"TCGA.AA.3930.01A"	"S06"	"IS12"
"TCGA.AA.3947.01A"	"S06"	"IS12"
"TCGA.AA.3968.01A"	"S06"	"IS12"
"TCGA.AA.3976.01A"	"S06"	"IS12"
"TCGA.AA.3977.01A"	"S06"	"IS12"
"TCGA.AA.3980.01A"	"S06"	"IS12"
"TCGA.AA.A00R.01A"	"S06"	"IS12"
"TCGA.AA.A00U.01A"	"S06"	"IS12"
"TCGA.AA.A00Z.01A"	"S06"	"IS12"
"TCGA.AA.A010.01A"	"S06"	"IS12"
"TCGA.AA.A02F.01A"	"S06"	"IS12"
"TCGA.AD.5900.01A"	"S06"	"IS12"
"TCGA.AD.6548.01A"	"S06"	"IS12"
"TCGA.AD.6963.01A"	"S06"	"IS12"
"TCGA.AD.6965.01A"	"S06"	"IS12"
"TCGA.AF.3911.01A"	"S06"	"IS12"
"TCGA.AG.3592.01A"	"S06"	"IS12"
"TCGA.AG.3898.01A"	"S06"	"IS12"
"TCGA.AG.A036.01A"	"S06"	"IS12"
"TCGA.AH.6897.01A"	"S06"	"IS12"
"TCGA.AM.5821.01A"	"S06"	"IS12"
"TCGA.AY.6386.01A"	"S06"	"IS12"
"TCGA.AY.A54L.01A"	"S06"	"IS12"
"TCGA.AY.A69D.01A"	"S06"	"IS12"
"TCGA.AZ.4615.01A"	"S06"	"IS12"
"TCGA.AZ.6601.01A"	"S06"	"IS12"
"TCGA.AZ.6606.01A"	"S06"	"IS12"
"TCGA.CA.5797.01A"	"S06"	"IS12"
"TCGA.CA.6715.01A"	"S06"	"IS12"
"TCGA.CA.6718.01A"	"S06"	"IS12"
"TCGA.CI.6620.01A"	"S06"	"IS12"
"TCGA.CK.4952.01A"	"S06"	"IS12"
"TCGA.CK.5913.01A"	"S06"	"IS12"
"TCGA.CK.5914.01A"	"S06"	"IS12"
"TCGA.CK.5916.01A"	"S06"	"IS12"
"TCGA.CL.4957.01A"	"S06"	"IS12"
"TCGA.CM.6166.01A"	"S06"	"IS12"
"TCGA.CM.6674.01A"	"S06"	"IS12"
"TCGA.CM.6675.01A"	"S06"	"IS12"
"TCGA.CM.6677.01A"	"S06"	"IS12"
"TCGA.D5.5541.01A"	"S06"	"IS12"
"TCGA.D5.6537.01A"	"S06"	"IS12"
"TCGA.D5.6540.01A"	"S06"	"IS12"
"TCGA.D5.6927.01A"	"S06"	"IS12"
"TCGA.D5.6931.01A"	"S06"	"IS12"
"TCGA.DC.5869.01A"	"S06"	"IS12"
